ME1020: EGR1010,MTH2300,MTH2310
ME2120: EGR1010,ME1040,PHY2400,ME2020,MTH2310
ME2210: ME1020,ME2120
ME2600: ME2700
ME2700: CHM1210,PHY2400
ME3120: ME1020,ME2120
ME3210: EE2010,ME2210,ME3120,ME3350,MTH2350
ME3310: EGR1010,PHY2400,MTH2310
ME3320: ME1020,ME3310
ME3350: ME2210,ME3310
ME3360: ME3350,MTH2350
ME3600: EE2010,EGR3350,ME2120,MTH2350,MTH2330,MTH2530
ME3750: ME2700
ME3760: ME3750
ME4010: ME3360,ME3210
ME4080: MTH2350,ME3210,MTH2330,MTH2530
ME4120: MTH2320,MTH2350,ME3120,MTH2330,MTH2530
ME4140: ME2700,ME3120
ME4150: ME4140
ME4160: ME2020,ME2210,ME3120,ME1040
ME4180: ME2700
ME4190: MTH2350,MTH2320,ME3350,MTH2330,MTH2530
ME4210: ME3210
ME4220: ME3210
ME4240: ME2210
ME4250: ME2210
ME4260: MTH2350,MTH2530
ME4330: ME3350
ME4340: ME3360
ME4350: ME3350
ME4360: ME3320,ME3350,MTH2350,MTH2530,MTH2330
ME4430: ME3350
ME4440: ME3350
ME4490: ME3120
ME4520: ME3350
ME4530: ME3310
ME4540: ME3360
ME4550: ME3360
ME4560: ME3350
ME4570: ME2700,ME3310,ME3750
ME4580: ME2700,ME3310,ME3750
ME4590: ME3360
ME4610: ME3360,ME3600
ME4620: ME2700,ME3120,ME3600
ME4680: CHM1210,PHY2410,PHY1120
ME4700: ME2700,MTH2320,MTH2350,MTH2330,MTH2530
ME4720: ME2700
ME4730: ME2700
ME4740: ME2700,ME3120,ME4620
ME4750: ME2600,ME2700
ME4770: ME2700,ME3120
ME4820: ME2700,ME3310,ME3750
ME4830: ME2700
ME4840: ME2700,ME3120
ME4850: ME2700,ME3310,ME3750
ME4860: ME2700,ME3120
ME4870: ME2210,BME3212,ISE3212
ME4880: ME2700,ME3310,ME3750
